ID,NAME,GAME,TYPE,CHAPTER,LOCATION,DESCRIPTION,IMAGE,BLURB
170,Eddy,lostage,mercury,6,Shaman Village Cave,Eddy can be found by solving the Lift puzzle.,mercury,Speed up Djinn recovery time.
171,Gasp,lostage,jupiter,6,Trial Road,Gasp can be found towards the end of Trial Toad after obtaining the Hover and Lift psynergy.,jupiter,Call the Grim Reaper on your foes.
172,Haures,lostage,summon,6,Angara Cavern,"Haures can be found in a cavern in western Angara, north of Loho, after obtaining the Carry psynergy.",haures,A beast that sunders darkness.
173,Fury,lostage,mars,6,Magma Rock,Fury can be found after lowering the lava level.,mars,Call forth wandering souls to attack.
174,Lull,lostage,jupiter,6,Loho,Lull can be found after blowing up a wall using the Magma Ball from Magma Rock.,jupiter,Negotiate a temporary cease-fire.
175,Mold,lostage,venus,6,Prox,Mold can be found by using Scoop on a pile of snow on the ice.,venus,Strike a foe.
176,Balm,lostage,mercury,6,Mars Lighthouse,Balm can be found by solving an ice puzzle.,mercury,Revive all downed allies.
177,Fugue,lostage,mars,6,Mars Lighthouse,Fugue can be found after heating the ice in Mars Lighthouse.,mars,Fatigue your foes to drop their PP.
178,Gale,lostage,jupiter,6,Treasure Isle,Gale can be found by solving a Lift puzzle.,jupiter,Blast enemies with a wind strike.
179,Azul,lostage,summon,6,Treasure Isle,Azul can be found after defeating the Star Magician.,azul,An awakened dragon from the deep.
180,Crystal,lostage,venus,6,Yampi Desert Cave,Crystal can be found after obtaining the Teleport psynergy and solving a Pound puzzle.,venus,Restore HP to all allies.
181,Daedalus,lostage,summon,6,Yampi Desert Cave,Daedalus can be found after defeating Valukar.,daedalus,Master craftsman of ancient times.
182,Serac,lostage,mercury,6,Islet Cave,Serac can be found after obtaining the Teleport psynergy and interacting with a statue.,mercury,Strike a chilling finishing blow.
183,Catastrophe,lostage,summon,6,Islet Cave,Catastrophe can be found after defeating the Sentinel.,catastrophe,The embodiment of destruction.
184,Charon,lostage,summon,6,Anemos Inner Sanctum,Charon can be found after obtaining the Teleport psynergy and gathering all 72 djinni.,charon,The boatsman of the river Styx.
185,Iris,lostage,summon,6,Anemos Inner Sanctum,Iris can be found after defeating Dullahan.,iris,"Goddess of rainbows, guide of souls."
201,Flint,darkdawn,venus,1,World Map (outside Lookout Cabin),Flint will join upon embarking on your journey.,flint,Attack with a blow that can cleave stone.
202,Forge,darkdawn,mars,1,Patcher's Place,Forge can be found by solving a Growth puzzle.,forge,Boost party Attack with flame's fury.
203,Gust,darkdawn,jupiter,1,Goma Highlands Road,Gust can be obtained after entering the dungeon from a secret passage in Carver's Camp.,gust,Buffet foe (perhaps twice) with gale force.
204,Chill,darkdawn,mercury,1,Carver's Camp,Chill can be found by climbing down into the canyon.,chill,Shatter a foe's defense with numbing cold.
205,Zagan,darkdawn,summon,1,Carver's Lumberyard,Zagan can be found after solving a Whirlwind puzzle after entering from the eastern side of the dungeon.,zagan,Earth's might enflamed.
206,Fever,darkdawn,mars,1,World Map (south of Carver's Camp),Fever can be found while traveling south from Carver's Camp to the Konpa Gate.,fever,Damage and delude a foe with a heat haze.
207,Flower,darkdawn,venus,1,Konpa Gate,Flower can be found after using Whirlwind on a field of flowers.,flower,Refresh allies and restore HP.
208,Jolt,darkdawn,jupiter,1,Konpa Ruins,Jolt can be found at the top of the dungeon after obtaining the Grip psynergy.,jolt,May revive a downed ally with sharp shocks.
209,Sleet,darkdawn,mercury,2,Konpa Ruins,Sleet will join alongside Rief.,sleet,Slash a foe with ice to reduce its Attack.
210,Megaera,darkdawn,summon,2,Konpa Shrine,Megaera can be found after solving a Douse puzzle in a cavern outside the Konpa Ruins.,megaera,The goddess of vengeance.
211,Cinder,darkdawn,mars,2,Harapa,Cinder can be found by climbing the walls of the city through a building.,cinder,Usually revives down ally with life embers.
212,Bark,darkdawn,venus,2,Passaj Mountain Climb,Bark can be found after traversing through most of the interior of the dungeon behind a whirlwind spout.,bark,Create a protective barrier against attacks.
213,Ether,darkdawn,jupiter,2,World Map (west of Kaocho),Ether can be found in the forest to the west of Kaocho.,ether,Focus will to restore PP.
214,Steel,darkdawn,venus,2,Kaocho,Steel can be found by using Grip to traverse to the western side of the town's northwestern stream and jumping over lilypads.,steel,Attack and siphon a foe's HP with a kiss.
215,Breath,darkdawn,jupiter,2,Ayuthay,Breath can be found after obtaining the Arid Heat psynergy and using the lilypad to reach it.,breath,Restore an ally's HP before others can act.
216,Surge,darkdawn,mercury,2,Barai Temple,Surge can be found by solving a Arid Heat puzzle.,surge,Restore party HP with a stream of life.
217,Mist,darkdawn,mercury,2,Ayuthay,Mist will join alongside Amiti.,mist,Attack and lull a foe into deep sleep.
218,Mellow,darkdawn,mercury,2,Ayuthay,Mellow will join alongside Amiti.,mellow,Boost party Resistance with a moist sheen.
219,Claw,darkdawn,mercury,2,Ayuthay,Claw will join alongside Amiti.,claw,Attack to drop an enemy's Resistance.
220,Lava,darkdawn,mars,2,Kaocho,Lava can be found after giving a man a Kaocho Dumpling.,lava,Drop enemy Defense with volcanic gases.
221,Vortex,darkdawn,jupiter,2,Ouroboros,Vortex can be found after solving a Zol cube puzzle.,vortex,Attack and delude a foe with whirling air.
222,Brand,darkdawn,mars,2,Passaj Mountain Climb,"Brand can be found after using the Sol Mask in the Alchemy Forge, climbing the town's new walls, and jumping down a cliff.",brand,Lock enemy Psynergy with low failure rate.
223,Serac,darkdawn,mercury,2,Harapa Ruins,Serac can be found by solving an ice puzzle and dropping down to a lower floor.,serac,Strike a chilling finishing blow.
224,Brick,darkdawn,venus,2,Harapa,"Brick can be found after obtaining the Cold Snap psynergy, climbing the walls of town, and entering a building from its roof.",brick,Boost party Defense with a hard covering.
225,Flora,darkdawn,summon,2,Passaj Mountain Climb,"Flora can be found after obtaining the Cold Snap psynergy, dropping down some cliffs from the top of the dungeon, and solving a Zol cube puzzle.",flora,"The wind rider, goddess of flowers."
226,Doldrum,darkdawn,jupiter,3,Craggy Peak Ruins,Doldrum can be found by solving a Grip and Fireball puzzle.,doldrum,Stop enemy movement with still air.
227,Fury,darkdawn,mars,3,Te Rya Village,Fury can be found by solving a Fireball puzzle.,fury,Call haunting spirits to harm your foe.
228,Moloch,darkdawn,summon,3,North Wall Shrine,Moloch can be found in a cavern in the mountains after solving a Fireball and Cold Snap puzzle.,moloch,The sacred ice monster.
229,Dewdrop,darkdawn,mercury,3,Teppe Ruins,Dewdrop can be found after using Fireball and giving the fisherman the Trusty Staff.,dewdrop,Cure party status effects with fresh dew.
230,Fleet,darkdawn,jupiter,3,Teppe Ruins,"Fleet will join alongside Sveta, and will temporarily leave until Sveta rejoins the party later on.",fleet,Boost party Agility with wind at your back.
231,Waft,darkdawn,jupiter,3,Teppe Ruins,"Waft will join alongside Sveta, and will temporarily leave until Sveta rejoins the party later on.",waft,Smite and lull a foe to sleep with aromas.
232,Bolt,darkdawn,jupiter,3,Teppe Ruins,"Bolt will join alongside Sveta, and will temporarily leave until Sveta rejoins the party later on.",bolt,Attack and stun a foe with electric force.
233,Breeze,darkdawn,jupiter,3,Teppe Ruins,"Breeze will join alongside Sveta, and will temporarily leave until Sveta rejoins the party later on.",breeze,Boost party Resistance with a gentle wind.
234,Haze,darkdawn,jupiter,3,Teppe Ruins,"Haze will join alongside Sveta, and will temporarily leave until Sveta rejoins the party later on.",haze,Hide away to avoid damage.
235,Vine,darkdawn,venus,3,Teppe Ruins,Vine can be found hidden and running around a field of grass.,vine,Tangle multiple foes to drop Agility.
236,Torrent,darkdawn,mercury,4,Belinsk,Torrent can be found at the docks after solving a box puzzle.,torrent,Boost party Agility with a surge of energy.
237,Spout,darkdawn,mercury,4,Belinsk Ruins,Spout can be found behind an entrance to the ruins behind a set of bookshelves in Belinsk.,spout,"Spray foe with painful, blinding mists."
238,Gears,darkdawn,venus,4,World Map (north of Border Town),Gears can be found to the north of Border Town.,gears,Force a foe to attack another.
239,Ulysses,darkdawn,summon,4,Border Town Mines,"Ulysses can be found to the west of Border Town, reached by walking all the way north and around, after solving a minecart puzzle.",ulysses,A legendary wandering mage.
240,Sirocco,darkdawn,jupiter,4,Border Town,Sirocco can be found after solving a Grip puzzle.,sirocco,Scour and delude a foe with a sandstorm.
241,Furrow,darkdawn,venus,4,World Map (west of Port Rago),Furrow can be found on an island to the west of Port Rago.,furrow,Drain an enemy's HP.
242,Coral,darkdawn,mercury,4,Port Rago Canal,Coral can be found after solving an Arid Heat puzzle.,coral,Restore party HP with the life-giving seas.
243,Garland,darkdawn,venus,4,Kolima Village,Garland can be found hidden among the upper tree branches of town.,garland,Refresh an ally and restore HP.
244,Glare,darkdawn,mars,4,Phantasmal Bog,Glare can be found after solving a log puzzle.,glare,Damage and delude a foe with heat glare.
245,Wisp,darkdawn,jupiter,4,Saha Cistern,Wisp can be found after obtaining the Crush psynergy and solving a Move puzzle.,wisp,Restore party PP with refreshing fragrances.
246,Pewter,darkdawn,venus,4,Kolima Forest,Pewter will join after meeting with Tret and Laurel.,pewter,Attack with molten metal through defenses.
247,Teardrop,darkdawn,mercury,4,Kolima Forest,Teardrop can be found behind a waterfall after solving a Crush puzzle.,teardrop,Usually revive a downed ally with grieving.
248,Puff,darkdawn,jupiter,4,Talon Peak,Puff can be found by jumping down a cliff from the summit discovered by using Crush.,puff,Inflate an enemy to bursting.
249,Haures,darkdawn,summon,4,Border Town,Haures can be found after using a Dream Leaf at the inn and climbing over to the Bilibin side of town.,haures,A beast that sunders darkness.
250,Chasm,darkdawn,venus,4,Belinsk Ruins,Chasm can be found after solving a Crush puzzle.,chasm,Send damage the party takes to the void.
251,Eclipse,darkdawn,summon,4,Eclipse Tower,Eclipse can be found after interacting with the object at the top of the tower.,eclipse,A dragon whose wings span the skies.
252,Pincer,darkdawn,mercury,4,Belinsk,Pincer can be found after solving a Cold Snap puzzle in one of the residences after Eclipse Tower.,pincer,Pinch enemy to drop its Resistance.
253,Crystallux,darkdawn,summon,4,Belinsk,Crystallux can be found after fighting off the monsters at the opera house during the Grave Eclipse.,crystallux,A dragon with a heart of brilliant crystal.
254,Reflux,darkdawn,mars,5,Belinsk,Reflux will join alongside Eoleo.,reflux,Boost counterattack rate.
255,Wrath,darkdawn,mars,5,Belinsk,Wrath will join alongside Eoleo.,wrath,Attack with force that may knock foe out.
256,Chili,darkdawn,mars,5,Belinsk,Chili will join alongside Eoleo.,chili,Stun and injure a foe with explosive force.
257,Glow,darkdawn,mars,5,Belinsk,Glow will join alongside Eoleo.,glow,Revive a downed ally with near certainty.
258,Stoke,darkdawn,mars,5,Belinsk,Stoke will join alongside Eoleo.,stoke,Boost party Attack with a call to victory.
259,Spring,darkdawn,mercury,5,Harun Village,Spring can be found in a cave near the water after solving a log puzzle.,spring,Restore HP with healing springwater.
260,Coatlicue,darkdawn,summon,5,Harun Channel,"Coatlicue can be found by filling a channel with water, entering the Harun Channel, and going south until finding a cave entrance.",coatlicue,A goddess bearing the water of life.
261,Chain,darkdawn,venus,5,Champion's Hill,Chain can be found in a tree after raising the three watchtowers.,chain,Entangle a foe so each ally can attack.
262,Sizzle,darkdawn,mars,5,World Map (east of Yamata),Sizzle can be found to the east of Yamata City after walking around the mountain.,sizzle,Damage and drop a foe's Defense with heat.
263,Kite,darkdawn,jupiter,5,Yamata,Kite can be found after traversing through an underground tunnel hidden underneath a pillar.,kite,Allow an ally to take an extra action.
264,Buckle,darkdawn,venus,5,Yamata Palace,Buckle will join alongside Himi.,buckle,Boost party Defense with a protective shell.
265,Clover,darkdawn,venus,5,Yamata Palace,Clover will join alongside Himi.,clover,Restore allies' status to normal.
266,Magnet,darkdawn,venus,5,Yamata Palace,Magnet will join alongside Himi.,magnet,Stun a foe with sudden force.
267,Geode,darkdawn,venus,5,Yamata Palace,Geode will join alongside Himi.,geode,Attack with a clod of earth.
268,Pepper,darkdawn,mars,5,Yamata Palace,Pepper will join alongside Himi.,pepper,Attack and stun a foe with unbearable heat.
269,Swift,darkdawn,jupiter,5,Yamata Palace,Swift will join alongside Himi.,swift,Use speed of the wind to strike first.
270,Shell,darkdawn,mercury,5,Gaia Falls Islet,Shell can be found behind a waterfall after solving a Grip puzzle.,shell,Shield allies from damage with a hard shell.
271,Rime,darkdawn,mercury,5,Iceberg Outpost,Rime can be found after sliding off the roof of a house.,rime,Seal a foe's Psynergy.
